volume,ticks,status,open,low,high,cost,close,timestamp,Instrument
31.4,1623628800.0,ok,0.0625,0.0445,0.0945,2.3511,0.0945,2021-06-13 19:00:00,BTC-2JUL21-42000-C
50.1,1623715200.0,ok,0.0695,0.0565,0.0715,3.2246,0.062,2021-06-14 19:00:00,BTC-2JUL21-42000-C
0.0,1623801600.0,ok,0.062,0.062,0.062,0.0,0.062,2021-06-15 19:00:00,BTC-2JUL21-42000-C
128.6,1623888000.0,ok,0.0525,0.0525,0.057,7.071,0.054,2021-06-16 19:00:00,BTC-2JUL21-42000-C
0.5,1609804800.0,ok,0.1775,0.085,0.1775,0.0547,0.085,2021-01-04 18:00:00,BTC-24SEP21-40000-P
37.3,1609891200.0,ok,0.085,0.085,0.3195,8.106,0.23,2021-01-05 18:00:00,BTC-24SEP21-40000-P
1.0,1609977600.0,ok,0.32,0.32,0.32,0.32,0.32,2021-01-06 18:00:00,BTC-24SEP21-40000-P
73.6,1610064000.0,ok,0.23,0.23,0.23,16.928,0.23,2021-01-07 18:00:00,BTC-24SEP21-40000-P
0.0,1610150400.0,ok,0.23,0.23,0.23,0.0,0.23,2021-01-08 18:00:00,BTC-24SEP21-40000-P
5.0,1610236800.0,ok,0.221,0.221,0.221,1.105,0.221,2021-01-09 18:00:00,BTC-24SEP21-40000-P
10.0,1610323200.0,ok,0.34,0.34,0.34,3.4,0.34,2021-01-10 18:00:00,BTC-24SEP21-40000-P
11.0,1610409600.0,ok,0.2775,0.26,0.3025,3.0556,0.3005,2021-01-11 18:00:00,BTC-24SEP21-40000-P
10.0,1610496000.0,ok,0.34,0.34,0.34,3.4,0.34,2021-01-12 18:00:00,BTC-24SEP21-40000-P
0.0,1610582400.0,ok,0.34,0.34,0.34,0.0,0.34,2021-01-13 18:00:00,BTC-24SEP21-40000-P
0.0,1610668800.0,ok,0.34,0.34,0.34,0.0,0.34,2021-01-14 18:00:00,BTC-24SEP21-40000-P
0.0,1610755200.0,ok,0.34,0.34,0.34,0.0,0.34,2021-01-15 18:00:00,BTC-24SEP21-40000-P
0.0,1610841600.0,ok,0.34,0.34,0.34,0.0,0.34,2021-01-16 18:00:00,BTC-24SEP21-40000-P
1.0,1610928000.0,ok,0.327,0.3265,0.327,0.32695,0.3265,2021-01-17 18:00:00,BTC-24SEP21-40000-P
0.0,1611014400.0,ok,0.3265,0.3265,0.3265,0.0,0.3265,2021-01-18 18:00:00,BTC-24SEP21-40000-P
0.0,1611100800.0,ok,0.3265,0.3265,0.3265,0.0,0.3265,2021-01-19 18:00:00,BTC-24SEP21-40000-P
0.1,1611187200.0,ok,0.157,0.157,0.157,0.0157,0.157,2021-01-20 18:00:00,BTC-24SEP21-40000-P
0.0,1611273600.0,ok,0.157,0.157,0.157,0.0,0.157,2021-01-21 18:00:00,BTC-24SEP21-40000-P
0.0,1611360000.0,ok,0.157,0.157,0.157,0.0,0.157,2021-01-22 18:00:00,BTC-24SEP21-40000-P
19.9,1611446400.0,ok,0.523,0.523,0.5245,10.40905,0.5245,2021-01-23 18:00:00,BTC-24SEP21-40000-P
0.6,1611532800.0,ok,0.1275,0.1275,0.1275,0.0765,0.1275,2021-01-24 18:00:00,BTC-24SEP21-40000-P
7.3,1611619200.0,ok,0.1275,0.054,0.1285,0.77855,0.1285,2021-01-25 18:00:00,BTC-24SEP21-40000-P
4.1,1611705600.0,ok,0.6175,0.6175,0.9505,3.83125,0.939,2021-01-26 18:00:00,BTC-24SEP21-40000-P
0.1,1611792000.0,ok,0.212,0.212,0.212,0.0212,0.212,2021-01-27 18:00:00,BTC-24SEP21-40000-P
2.9,1611878400.0,ok,0.288,0.258,0.288,0.7886,0.2675,2021-01-28 18:00:00,BTC-24SEP21-40000-P
0.0,1611964800.0,ok,0.2675,0.2675,0.2675,0.0,0.2675,2021-01-29 18:00:00,BTC-24SEP21-40000-P
0.0,1612051200.0,ok,0.2675,0.2675,0.2675,0.0,0.2675,2021-01-30 18:00:00,BTC-24SEP21-40000-P
0.0,1612137600.0,ok,0.2675,0.2675,0.2675,0.0,0.2675,2021-01-31 18:00:00,BTC-24SEP21-40000-P
12.8,1612224000.0,ok,0.287,0.271,0.287,3.52,0.271,2021-02-01 18:00:00,BTC-24SEP21-40000-P
15.0,1612310400.0,ok,0.2765,0.223,0.2765,3.7302,0.2365,2021-02-02 18:00:00,BTC-24SEP21-40000-P
5.3,1612396800.0,ok,0.2345,0.201,0.244,1.23435,0.232,2021-02-03 18:00:00,BTC-24SEP21-40000-P
5.6,1612483200.0,ok,0.1975,0.1615,0.2195,1.0971,0.214,2021-02-04 18:00:00,BTC-24SEP21-40000-P
0.0,1612569600.0,ok,0.214,0.214,0.214,0.0,0.214,2021-02-05 18:00:00,BTC-24SEP21-40000-P
0.3,1612656000.0,ok,0.225,0.0315,0.2315,0.0488,0.2315,2021-02-06 18:00:00,BTC-24SEP21-40000-P
0.3,1612742400.0,ok,0.196,0.02,0.196,0.03985,0.02,2021-02-07 18:00:00,BTC-24SEP21-40000-P
