state,population,atm_count
California,39368078,1284
Texas,29360759,1112
Florida,21733312,991
Illinois,12587530,538
Georgia,10710017,455
New Jersey,8882371,399
Michigan,9966555,373
Ohio,11693217,346
Pennsylvania,12783254,333
North Carolina,10600823,326
Massachusetts,6893574,263
Tennessee,6886834,252
Indiana,6754953,234
Colorado,5807719,218
Arizona,7421401,217
Virginia,8590563,189
Missouri,6151548,180
Maryland,6055802,156
Connecticut,3557006,154
Nevada,3138259,141
Louisiana,4645318,141
South Carolina,5218040,127
Wisconsin,5832655,118
New York,19336776,113
Oklahoma,3980783,99
Kentucky,4477251,87
Oregon,4241507,73
Alabama,4921532,71
Minnesota,5657342,70
Arkansas,3030522,62
Kansas,2913805,59
Utah,3249879,58
Mississippi,2966786,46
Delaware,986809,41
New Hampshire,1366275,36
Iowa,3163561,29
Nebraska,1937552,26
Washington,7693612,22
Maine,1350141,22
Montana,1080577,12
Idaho,1826913,10
North Dakota,765309,10
South Dakota,892717,8
New Mexico,2106319,7
West Virginia,1784787,6
Wyoming,582328,5
Rhode Island,1057125,5
Hawaii,1407006,3
