id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,first_priced_at
BTC,BTC,BTC,Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/btc.svg,active,40989.02756,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,18735775,21000000,7.67961E+11,0.4272,384,60534,5177,2011-08-18T00:00:00Z,2011-08-18T00:00:00Z,2017-01-06T00:00:00Z,1,0,63498.41694,2021-04-13T00:00:00Z,40804568431,1224.283479,0.0308,-11664158443,-0.2223,22973210890,0.0308,
ETH,ETH,ETH,Ethereum,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eth.svg,active,2592.598239,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,116304016,,3.0153E+11,0.1677,390,43281,31848,2015-08-07T00:00:00Z,2015-08-07T00:00:00Z,2018-08-29T00:00:00Z,2,0,4164.647211,2021-05-11T00:00:00Z,29798445484,57.45954216,0.0227,-4078679328,-0.1204,6717377932,0.0228,
USDT,USDT,USDT,Tether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdt.svg,active,1.00134121,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,62774622898,,62858816719,0.035,323,32019,5865,2013-12-27T00:00:00Z,2013-12-27T00:00:00Z,2018-08-29T00:00:00Z,3,0,1.09256076,2017-12-07T00:00:00Z,72578749393,0.00049857,0.0005,-15220133996,-0.1734,32218514.66,0.0005,
BNB,BNB,BNB,Binance Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bnb.svg,active,372.7150714,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,154533652,170533652,57597021103,0.032,131,4981,147538,2017-07-14T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,4,0,676.4747195,2021-05-03T00:00:00Z,2125040301,6.98620701,0.0191,-728437332.2,-0.2553,1079604081,0.0191,
HEX,HEX,HEX,HEX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HEX.png,active,0.09246491,2021-06-15T00:00:00Z,2021-06-15T18:41:00Z,5.7158E+11,6.33568E+11,52851058331,0.0294,28,85,8,2019-12-13T00:00:00Z,2020-06-09T00:00:00Z,2020-03-11T00:00:00Z,5,0,0.09463821,2021-06-14T00:00:00Z,54417150.32,-0.00145031,-0.0154,7553465.24,0.1612,-831706348.2,-0.0155,
ADA,ADA,ADA,Cardano,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ada.svg,active,1.58594845,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,32066390668,45000000000,50855642624,0.0283,107,312,2,2017-10-01T00:00:00Z,2017-11-22T00:00:00Z,2018-08-29T00:00:00Z,6,0,2.33300259,2021-05-16T00:00:00Z,3031064380,0.03356935,0.0216,-789166301.5,-0.2066,1076447834,0.0216,
DOGE,DOGE,DOGE,Dogecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/doge.svg,active,0.32519208,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,1.30035E+11,,42286456027,0.0235,193,2783,1014,2014-01-21T00:00:00Z,2014-01-21T00:00:00Z,2018-09-12T00:00:00Z,7,0,0.68313498,2021-05-07T00:00:00Z,1939619821,0.0024073,0.0075,-800948563.5,-0.2923,317435444,0.0076,
XRP,XRP,XRP,Ripple,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XRP.svg,active,0.87996536,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,46205772880,1E+11,40659479441,0.0226,254,1510,57,2013-05-09T00:00:00Z,2013-05-09T00:00:00Z,2018-08-29T00:00:00Z,8,0,2.77001614,2018-01-07T00:00:00Z,3673902834,-0.00696202,-0.0078,-329117291.7,-0.0822,-307318619.9,-0.0075,
DOT,DOT,DOT,Polkadot,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DOT.svg,active,24.59314062,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,1002347700,1083298739,24650877943,0.0137,99,273,0,2019-06-03T00:00:00Z,2019-08-27T00:00:00Z,2019-08-28T00:00:00Z,9,0,370.640203,2020-08-12T00:00:00Z,2884874878,0.30275645,0.0125,217227222.8,0.0814,309989684.8,0.0127,
USDC,USDC,USDC,USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdc.svg,active,1.00125423,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,23780621640,23780621640,23810448006,0.0132,176,1829,556,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-10-26T00:00:00Z,10,0,1.04371398,2019-05-02T00:00:00Z,1736053239,0.00155208,0.0016,-361140226.7,-0.1722,172145263.6,0.0073,
