volume,ticks,status,open,low,high,cost,close,timestamp,Instrument,Type
0.5,1609804800,ok,0.1775,0.085,0.1775,0.0547,0.085,1/4/2021 18:00,BTC-24SEP21-40000-P,P
37.3,1609891200,ok,0.085,0.085,0.3195,8.106,0.23,1/5/2021 18:00,BTC-24SEP21-40000-P,P
1,1609977600,ok,0.32,0.32,0.32,0.32,0.32,1/6/2021 18:00,BTC-24SEP21-40000-P,P
73.6,1610064000,ok,0.23,0.23,0.23,16.928,0.23,1/7/2021 18:00,BTC-24SEP21-40000-P,P
0,1610150400,ok,0.23,0.23,0.23,0,0.23,1/8/2021 18:00,BTC-24SEP21-40000-P,P
5,1610236800,ok,0.221,0.221,0.221,1.105,0.221,1/9/2021 18:00,BTC-24SEP21-40000-P,P
10,1610323200,ok,0.34,0.34,0.34,3.4,0.34,1/10/2021 18:00,BTC-24SEP21-40000-P,P
11,1610409600,ok,0.2775,0.26,0.3025,3.0556,0.3005,1/11/2021 18:00,BTC-24SEP21-40000-P,P
10,1610496000,ok,0.34,0.34,0.34,3.4,0.34,1/12/2021 18:00,BTC-24SEP21-40000-P,P
0,1610582400,ok,0.34,0.34,0.34,0,0.34,1/13/2021 18:00,BTC-24SEP21-40000-P,P
0,1610668800,ok,0.34,0.34,0.34,0,0.34,1/14/2021 18:00,BTC-24SEP21-40000-P,P
0,1610755200,ok,0.34,0.34,0.34,0,0.34,1/15/2021 18:00,BTC-24SEP21-40000-P,P
0,1610841600,ok,0.34,0.34,0.34,0,0.34,1/16/2021 18:00,BTC-24SEP21-40000-P,P
1,1610928000,ok,0.327,0.3265,0.327,0.32695,0.3265,1/17/2021 18:00,BTC-24SEP21-40000-P,P
0,1611014400,ok,0.3265,0.3265,0.3265,0,0.3265,1/18/2021 18:00,BTC-24SEP21-40000-P,P
0,1611100800,ok,0.3265,0.3265,0.3265,0,0.3265,1/19/2021 18:00,BTC-24SEP21-40000-P,P
0.1,1611187200,ok,0.157,0.157,0.157,0.0157,0.157,1/20/2021 18:00,BTC-24SEP21-40000-P,P
0,1611273600,ok,0.157,0.157,0.157,0,0.157,1/21/2021 18:00,BTC-24SEP21-40000-P,P
0,1611360000,ok,0.157,0.157,0.157,0,0.157,1/22/2021 18:00,BTC-24SEP21-40000-P,P
19.9,1611446400,ok,0.523,0.523,0.5245,10.40905,0.5245,1/23/2021 18:00,BTC-24SEP21-40000-P,P
0.6,1611532800,ok,0.1275,0.1275,0.1275,0.0765,0.1275,1/24/2021 18:00,BTC-24SEP21-40000-P,P
7.3,1611619200,ok,0.1275,0.054,0.1285,0.77855,0.1285,1/25/2021 18:00,BTC-24SEP21-40000-P,P
4.1,1611705600,ok,0.6175,0.6175,0.9505,3.83125,0.939,1/26/2021 18:00,BTC-24SEP21-40000-P,P
0.1,1611792000,ok,0.212,0.212,0.212,0.0212,0.212,1/27/2021 18:00,BTC-24SEP21-40000-P,P
2.9,1611878400,ok,0.288,0.258,0.288,0.7886,0.2675,1/28/2021 18:00,BTC-24SEP21-40000-P,P
0,1611964800,ok,0.2675,0.2675,0.2675,0,0.2675,1/29/2021 18:00,BTC-24SEP21-40000-P,P
0,1612051200,ok,0.2675,0.2675,0.2675,0,0.2675,1/30/2021 18:00,BTC-24SEP21-40000-P,P
0,1612137600,ok,0.2675,0.2675,0.2675,0,0.2675,1/31/2021 18:00,BTC-24SEP21-40000-P,P
12.8,1612224000,ok,0.287,0.271,0.287,3.52,0.271,2/1/2021 18:00,BTC-24SEP21-40000-P,P
15,1612310400,ok,0.2765,0.223,0.2765,3.7302,0.2365,2/2/2021 18:00,BTC-24SEP21-40000-P,P
